127.0.0.1 - - [08/May/2024:08:18:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:29 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/main.jsp?mname=%EA%B9%80%EC%97%B0%EC%95%84&id=kim&mnum=1003 HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:29 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:30 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/article/articleList.jsp HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:30 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/article/img/level.gif HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:30 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:30 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/article/img/re.gif HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:30 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/article/img/hot.gif HTTP/1.1" 404 913
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:30 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/article/img/level.gif HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:30 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/article/img/re.gif HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [08/May/2024:08:28:32 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/article/showArticle.jsp?anum=9&pageNum=1 HTTP/1.1" 200 6378
